language,total_tokens,percentage
Other,10465127847002.0,69.61945435728613
eng_Latn,1306021588500.0,8.688332498131278
spa_Latn,493641900000.0,3.2839617660035874
fra_Latn,436692600001.0,2.905105506440969
deu_Latn,417749400000.0,2.779085522057465
Math,235154890500.0,1.5643722088638752
por_Latn,170748900002.0,1.1359101794109006
ita_Latn,154959600000.0,1.0308715724398791
pol_Latn,120901800000.0,0.8043014351922163
nld_Latn,96993150000.0,0.6452487038969967
tur_Latn,78899700002.0,0.524881696946149
ces_Latn,73884150000.0,0.4915156588483959
hun_Latn,58596000000.0,0.3898109614292186
swe_Latn,57301200000.0,0.38119728075377063
ell_Grek,56799750001.0,0.37786137546639825
ukr_Cyrl,53296650001.0,0.35455693866213356
bul_Cyrl,52902450001.0,0.3519345159541774
nob_Latn,52900350001.0,0.35192054566577885
fin_Latn,52900350000.0,0.35192054565912634
cat_Latn,52900200001.0,0.3519195477880361
ron_Latn,52899000001.0,0.3519115647660941
dan_Latn,52898700000.0,0.35190956900395604
slk_Latn,52896900000.0,0.35189759447104296
hrv_Latn,49596300000.0,0.3299402926194955
lit_Latn,45595950000.0,0.30332789109800296
slv_Latn,41797500000.0,0.2780586330182566
srp_Cyrl,31685850000.0,0.21079069650150195
lvs_Latn,27871500000.0,0.18541566338102375
Code,25597686000.0,0.17028907416928202
bos_Latn,23997900001.0,0.15964646855881046
ekk_Latn,23130150000.0,0.15387374581032906
als_Latn,20917650002.0,0.1391550491180203
isl_Latn,17399550001.0,0.1157508245328277
mkd_Cyrl,16195650000.0,0.10774185776283576
eus_Latn,13300950000.0,0.08848481308317915
glg_Latn,11496300000.0,0.07647934596011205
lav_Latn,9736950002.0,0.06477523792866155
est_Latn,7371600000.0,0.049039703789876925
sqi_Latn,6081450000.0,0.04045695732445426
mlt_Latn,4250400000.0,0.028275863718662555
nno_Latn,3749700000.0,0.024944947813351444
gle_Latn,3059700000.0,0.020354710196685444
srp_Latn,1916250000.0,0.012747888163675681
ltg_Latn,45000000.0,0.00029936332282604343
nor_Latn,40500000.0,0.00026942699054343907
