language,total_tokens,percentage
eng_Latn,7200000000003.0,73.70139674381679
Code,720000000001.0,7.370139674388844
spa_Latn,203840000000.0,2.0865684322574105
fra_Latn,139890000000.0,1.4319567209011437
por_Latn,113290000000.0,1.1596710051532673
deu_Latn,106000000000.0,1.0850483409501839
ita_Latn,101080000000.0,1.0346857198419301
Math,80000000000.0,0.8189044082642897
pol_Latn,65180000000.0,0.6672023666333301
ell_Grek,62750000000.0,0.6423281452323023
nld_Latn,59410000000.0,0.6081388861872682
tur_Latn,55260000000.0,0.5656582200085583
ron_Latn,48820000000.0,0.4997364151432829
hun_Latn,47910000000.0,0.49042137749927656
ukr_Cyrl,44680000000.0,0.4573581120156059
ces_Latn,43270000000.0,0.44292492181994775
swe_Latn,41140000000.0,0.42112159194991106
bul_Cyrl,38500000000.0,0.3940977464771895
fin_Latn,35400000000.0,0.3623652006569482
cat_Latn,34490000000.0,0.3530501630129419
srp_Cyrl,33340000000.0,0.34127841214414273
slk_Latn,32740000001.0,0.3351366290923969
hrv_Latn,32530000000.0,0.3329870050104668
dan_Latn,30380000000.0,0.31097894903836404
lit_Latn,29940000000.0,0.3064749747929104
mlt_Latn,29820000001.0,0.30524661819075033
slv_Latn,29720000000.0,0.30422298767018363
bos_Latn,29240000000.0,0.29930956122059793
mkd_Cyrl,28040000000.0,0.28702599509663357
nob_Latn,27400000000.0,0.2804747598305192
als_Latn,27160000000.0,0.2780180466057264
lvs_Latn,26740000000.0,0.2737187984623389
glg_Latn,24650000000.0,0.25232492079643426
gle_Latn,24160000000.0,0.24730913129581553
eus_Latn,23530000000.0,0.24086025908073425
isl_Latn,22320000000.0,0.22847432990573685
nno_Latn,19940000000.0,0.20411192375987425
ekk_Latn,19020000000.0,0.1946945230648349
sqi_Latn,14000000000.0,0.14330827144625072
lav_Latn,13770000000.0,0.1409539212724909
est_Latn,9800000000.0,0.1003157900123755
