dataset,part,budget,usage,source tokens,source documents,source length,sample tokens,sample documents,sample length,token reduction,document reduction ,release tokens,release documents,release length,token reduction,document reduction
agenttrove-0.0,data,80882784000,4.000,20220696106,1568412,12892.5,,,,,,20220696106,1568412,12892.5,1.000,1.000
common-pile-stackv2-0.1,documents,2782210411500,0.980,2928642538533,218364133,13411.7,2839037251355,212703947,13347.4,0.969,0.974,709743563645,53178527,13346.4,0.242,0.244
common-pile-stackv2-edu-0.1,documents,160120374000,2.000,80134962542,67793087,1182.1,80060187066,67741990,1181.8,0.999,0.999,80060187066,67741990,1181.8,0.999,0.999
dclm-1.0,,1357475785501,0.349,3884321346581,2939202307,1321.6,,,,,,3878502261028,2938207499,1320.0,0.999,1.000
dochplt-3.1,bos_Latn-eng_Latn,1225050000,0.840,1458416629,1514533,962.9,,,,,,458775884,511225,897.4,0.315,0.338
dochplt-3.1,bul_Cyrl-eng_Latn,259500000,0.036,7207524299,5358722,1345.0,,,,,,65389726,54529,1199.2,0.009,0.010
dochplt-3.1,cat_Latn-eng_Latn,266700000,0.075,3556820287,4360574,815.7,,,,,,69721698,89493,779.1,0.020,0.021
dochplt-3.1,ces_Latn-eng_Latn,342450000,0.115,2977354007,2952715,1008.3,,,,,,87212362,90338,965.4,0.029,0.031
dochplt-3.1,dan_Latn-eng_Latn,375450000,0.100,3754764061,3761938,998.1,,,,,,640084934,656563,974.9,0.170,0.175
dochplt-3.1,ell_Grek-eng_Latn,143250000,0.039,3673046234,2952707,1244.0,,,,,,37252975,30638,1215.9,0.010,0.010
dochplt-3.1,eng_Latn-est_Latn,853800000,0.260,3283654344,2059801,1594.2,,,,,,620548858,432874,1433.6,0.189,0.210
dochplt-3.1,eng_Latn-eus_Latn,455700000,1.000,455642683,447604,1018.0,,,,,,311536813,312112,998.2,0.684,0.697
dochplt-3.1,eng_Latn-fin_Latn,1331550000,0.445,2992086059,2739032,1092.4,,,,,,1661398728,1572357,1056.6,0.555,0.574
dochplt-3.1,eng_Latn-gle_Latn,82350000,0.086,958343806,599788,1597.8,,,,,,202557031,128498,1576.3,0.211,0.214
dochplt-3.1,eng_Latn-glg_Latn,331350000,0.500,662806290,707166,937.3,,,,,,290615975,319626,909.2,0.438,0.452
dochplt-3.1,eng_Latn-hrv_Latn,1509750000,0.245,6162180063,5287964,1165.3,,,,,,839211587,801427,1047.1,0.136,0.152
dochplt-3.1,eng_Latn-hun_Latn,1548900000,0.600,2581421257,2134387,1209.4,,,,,,2353824622,2075523,1134.1,0.912,0.972
dochplt-3.1,eng_Latn-isl_Latn,463050000,0.300,1543380191,1357330,1137.1,,,,,,362435769,323213,1121.4,0.235,0.238
dochplt-3.1,eng_Latn-lav_Latn,1842600001,0.290,6353836051,2893702,2195.7,,,,,,490245987,234876,2087.3,0.077,0.081
dochplt-3.1,eng_Latn-lit_Latn,1521150000,0.300,5070694065,3202645,1583.3,,,,,,589079061,392966,1499.1,0.116,0.123
dochplt-3.1,eng_Latn-mkd_Cyrl,379950000,0.400,950047767,737649,1287.9,,,,,,337745176,271163,1245.5,0.356,0.368
dochplt-3.1,eng_Latn-mlt_Latn,114300000,0.100,1142415407,298366,3828.9,,,,,,183046530,57112,3205.0,0.160,0.191
dochplt-3.1,eng_Latn-nno_Latn,44850000,1.249,35912599,62707,572.7,,,,,,71566708,124168,576.4,1.993,1.980
dochplt-3.1,eng_Latn-nob_Latn,1327800000,0.214,6204850069,6157104,1007.8,,,,,,1301634290,1336545,973.9,0.210,0.217
dochplt-3.1,eng_Latn-ron_Latn,864600000,0.317,2727485036,2513001,1085.3,,,,,,2575529093,2422698,1063.1,0.944,0.964
dochplt-3.1,eng_Latn-slk_Latn,1513800000,0.218,6944119403,5750603,1207.5,,,,,,1231568558,1118557,1101.0,0.177,0.195
dochplt-3.1,eng_Latn-slv_Latn,1009500000,0.262,3853250158,2243604,1717.4,,,,,,734921214,475686,1545.0,0.191,0.212
dochplt-3.1,eng_Latn-sqi_Latn,487050000,0.320,1522153554,983718,1547.3,,,,,,490196729,330597,1482.8,0.322,0.336
dochplt-3.1,eng_Latn-srp_Cyrl,2314650000,1.325,1746859816,1113017,1569.5,,,,,,698547178,468555,1490.9,0.400,0.421
dochplt-3.1,eng_Latn-tur_Latn,1576500000,0.700,2252040524,2375135,948.2,,,,,,2152144059,2317072,928.8,0.956,0.976
dochplt-3.1,eng_Latn-ukr_Cyrl,82050000,2.998,27365473,68987,396.7,,,,,,26084150,67325,387.4,0.953,0.976
dolmino-mix-100b-1125,ingredient2-cranecode,25597686000,2.002,12788409020,10434183,1225.6,,,,,,12788409020,10434183,1225.6,1.000,1.000
dolmino-mix-100b-1125,ingredient2-cranemath,24987184500,4.004,6240244040,6552245,952.4,,,,,,6240244040,6552245,952.4,1.000,1.000
dolmino-mix-100b-1125,ingredient2-dolmino-math,47332968000,4.007,11812289415,20952603,563.8,,,,,,11812289415,20952603,563.8,1.000,1.000
dolmino-mix-100b-1125,ingredient2-megamatt,7664853000,4.006,1913194136,3019047,633.7,,,,,,1913194136,3019047,633.7,1.000,1.000
dolmino-mix-100b-1125,ingredient2-omr-rewrite-fullthoughts,3668724000,4.001,916890151,290738,3153.7,,,,,,916890151,290738,3153.7,1.000,1.000
dolmino-mix-100b-1125,ingredient2-program_verifiable,718926000,4.003,179592759,138559,1296.1,,,,,,179592759,138559,1296.1,1.000,1.000
dolmino-mix-100b-1125,ingredient2-stack_edu-fim,40113901500,3.003,13356343998,14956482,893.0,,,,,,13356343998,14956482,893.0,1.000,1.000
dolmino-mix-100b-1125,ingredient2-tinymath-mind,5349033000,4.006,1335116643,2141512,623.4,,,,,,1335116643,2141512,623.4,1.000,1.000
finemath-0.0.0,finemath-3plus,157485705000,4.000,39371426362,21405610,1839.3,,,,,,39371426362,21405610,1839.3,1.000,1.000
fineopus-filtered-0.4,eng_Latn-als_Latn,850050000,0.250,3398425405,68592964,49.5,,,,,,642088078,269939,2378.6,0.189,0.004
fineopus-filtered-0.4,eng_Latn-bul_Cyrl,7500000,4.035,1858873,96507,19.3,,,,,,2701770,2405,1123.4,1.453,0.025
fineopus-filtered-0.4,eng_Latn-cat_Latn,22800000,3.991,5712629,425624,13.4,,,,,,9067486,10633,852.8,1.587,0.025
fineopus-filtered-0.4,eng_Latn-ces_Latn,27450000,4.004,6855841,524474,13.1,,,,,,10463584,13087,799.5,1.526,0.025
fineopus-filtered-0.4,eng_Latn-dan_Latn,60300000,1.000,60307753,2236116,27.0,,,,,,76630099,55360,1384.2,1.271,0.025
fineopus-filtered-0.4,eng_Latn-deu_Latn,928050000,3.992,232472718,4233525,54.9,,,,,,261130072,105641,2471.9,1.123,0.025
fineopus-filtered-0.4,eng_Latn-ekk_Latn,640050000,0.241,2650981506,57729950,45.9,,,,,,778292200,362164,2149.0,0.294,0.006
fineopus-filtered-0.4,eng_Latn-ell_Grek,13050000,3.989,3271187,134635,24.3,,,,,,5121755,3358,1525.2,1.566,0.025
fineopus-filtered-0.4,eng_Latn-est_Latn,48900000,0.241,202757638,8739800,23.2,,,,,,70433564,54608,1289.8,0.347,0.006
