dataset,part,budget,usage,source tokens,source documents,source length,sample tokens,sample documents,sample length,token reduction,document reduction
dclm-1.0,,3239970000001,0.843,3845395936156,2909739252,1321.6,,,,,
finemath-0.0.0,finemath-4plus,40000000000,3.744,10684233758,6699493,1594.8,,,,,
finepdfs-1.0.0,als_Latn,6110000000,2.596,2353482366,198448,11859.4,,,,,
finepdfs-1.0.0,bos_Latn,3700000000,0.658,5627374893,675140,8335.1,,,,,
finepdfs-1.0.0,bul_Cyrl,4910000000,0.618,7943829750,1290422,6156.0,,,,,
finepdfs-1.0.0,cat_Latn,4360000000,0.393,11084337859,1864511,5944.9,,,,,
finepdfs-1.0.0,ces_Latn,2840000000,0.110,25735988104,5651566,4553.8,,,,,
finepdfs-1.0.0,dan_Latn,3170000000,0.270,11723952358,2415047,4854.5,,,,,
finepdfs-1.0.0,deu_Latn,150000000,0.001,154018911871,36121918,4263.9,,,,,
finepdfs-1.0.0,ekk_Latn,4200000000,1.442,2912687889,552807,5268.9,,,,,
finepdfs-1.0.0,ell_Grek,7700000000,0.467,16495925964,1962841,8404.1,,,,,
finepdfs-1.0.0,eng_Latn,1063780000001,0.808,1316304236277,206917555,6361.5,,,,,
finepdfs-1.0.0,eus_Latn,3470000000,1.287,2696420052,339042,7953.1,,,,,
finepdfs-1.0.0,fin_Latn,3700000000,0.280,13197482048,1980522,6663.6,,,,,
finepdfs-1.0.0,fra_Latn,4840000000,0.029,168589430004,27312270,6172.7,,,,,
finepdfs-1.0.0,gle_Latn,3620000000,12.038,300703698,32760,9179.0,,,,,
finepdfs-1.0.0,glg_Latn,3710000000,2.136,1737198341,290636,5977.2,,,,,
finepdfs-1.0.0,hrv_Latn,3580000000,0.343,10440955240,1436818,7266.7,,,,,
finepdfs-1.0.0,hun_Latn,2800000000,0.097,28761473161,3145494,9143.7,,,,,
finepdfs-1.0.0,isl_Latn,3320000000,1.062,3125767392,362886,8613.6,,,,,
finepdfs-1.0.0,ita_Latn,5960000000,0.073,81555508409,17589182,4636.7,,,,,
finepdfs-1.0.0,lit_Latn,3910000000,0.732,5341006388,870613,6134.8,,,,,
finepdfs-1.0.0,lvs_Latn,5920000000,1.400,4229372445,542194,7800.5,,,,,
finepdfs-1.0.0,mkd_Cyrl,4220000000,2.549,1655260079,164854,10040.8,,,,,
finepdfs-1.0.0,mlt_Latn,4670000000,6.330,737732814,152241,4845.8,,,,,
finepdfs-1.0.0,nld_Latn,4600000000,0.105,43632511070,7795696,5597.0,,,,,
finepdfs-1.0.0,nno_Latn,3150000000,9.241,340874944,91915,3708.6,,,,,
finepdfs-1.0.0,nob_Latn,3080000000,0.309,9974679166,1501170,6644.6,,,,,
finepdfs-1.0.0,pol_Latn,2900000000,0.070,41724854569,9692213,4305.0,,,,,
finepdfs-1.0.0,por_Latn,5280000000,0.056,94299880209,12045013,7829.0,,,,,
finepdfs-1.0.0,ron_Latn,3370000000,0.165,20365874849,3265132,6237.4,,,,,
finepdfs-1.0.0,slk_Latn,3400000001,0.317,10722613075,2251520,4762.4,,,,,
